t,x0,x1,y0,y1,z0,z1,magneticfield,velocity,has_velocity,has_magnetic,paired
22,321,640,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0022_x321-640_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0022_x321-640_y641-960_z641-960.npy,True,True,True
37,1,320,1,320,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0037_x1-320_y1-320_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0037_x1-320_y1-320_z1-320.npy,True,True,True
41,321,640,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0041_x321-640_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0041_x321-640_y321-640_z321-640.npy,True,True,True
45,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0045_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0045_x641-960_y641-960_z641-960.npy,True,True,True
49,1,320,1,320,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0049_x1-320_y1-320_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0049_x1-320_y1-320_z1-320.npy,True,True,True
53,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0053_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0053_x641-960_y641-960_z641-960.npy,True,True,True
118,1,320,321,640,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0118_x1-320_y321-640_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0118_x1-320_y321-640_z641-960.npy,True,True,True
217,321,640,1,320,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0217_x321-640_y1-320_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0217_x321-640_y1-320_z641-960.npy,True,True,True
218,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0218_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0218_x641-960_y641-960_z641-960.npy,True,True,True
273,641,960,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0273_x641-960_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0273_x641-960_y321-640_z321-640.npy,True,True,True
