label,t0,t1,t2,t3,t4,x0,x1,y0,y1,z0,z1
cube320_t0022,22,23,24,25,26,321,640,641,960,641,960
cube320_t0037,37,38,39,40,41,1,320,1,320,1,320
cube320_t0041,41,42,43,44,45,321,640,321,640,321,640
cube320_t0045,45,46,47,48,49,641,960,641,960,641,960
cube320_t0049,49,50,51,52,53,1,320,1,320,1,320
cube320_t0053,53,54,55,56,57,641,960,641,960,641,960
cube320_t0118,118,119,120,121,122,1,320,321,640,641,960
cube320_t0217,217,218,219,220,221,321,640,1,320,641,960
cube320_t0218,218,219,220,221,222,641,960,641,960,641,960
cube320_t0273,273,274,275,276,277,641,960,321,640,321,640
cube320_t0292,292,293,294,295,296,641,960,321,640,641,960
cube320_t0302,302,303,304,305,306,321,640,321,640,321,640
cube320_t0493,493,494,495,496,497,1,320,641,960,641,960
cube320_t0539,539,540,541,542,543,1,320,641,960,1,320
cube320_t0553,553,554,555,556,557,321,640,641,960,321,640
cube320_t0699,699,700,701,702,703,1,320,321,640,1,320
cube320_t0778,778,779,780,781,782,321,640,321,640,1,320
cube320_t0825,825,826,827,828,829,641,960,641,960,1,320
cube320_t0843,843,844,845,846,847,641,960,1,320,321,640
cube320_t0976,976,977,978,979,980,1,320,1,320,321,640
