label,time_label,t,x0,x1,y0,y1,z0,z1,velocity,magnetic,has_velocity,has_magnetic,complete
cube320_t0022,t1,23,321,640,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0023_x321-640_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0023_x321-640_y641-960_z641-960.npy,False,False,False
cube320_t0022,t2,24,321,640,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0024_x321-640_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0024_x321-640_y641-960_z641-960.npy,False,False,False
cube320_t0022,t3,25,321,640,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0025_x321-640_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0025_x321-640_y641-960_z641-960.npy,False,False,False
cube320_t0022,t4,26,321,640,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0026_x321-640_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0026_x321-640_y641-960_z641-960.npy,False,False,False
cube320_t0037,t1,38,1,320,1,320,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0038_x1-320_y1-320_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0038_x1-320_y1-320_z1-320.npy,False,False,False
cube320_t0037,t2,39,1,320,1,320,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0039_x1-320_y1-320_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0039_x1-320_y1-320_z1-320.npy,False,False,False
cube320_t0037,t3,40,1,320,1,320,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0040_x1-320_y1-320_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0040_x1-320_y1-320_z1-320.npy,False,False,False
cube320_t0037,t4,41,1,320,1,320,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0041_x1-320_y1-320_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0041_x1-320_y1-320_z1-320.npy,False,False,False
cube320_t0041,t1,42,321,640,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0042_x321-640_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0042_x321-640_y321-640_z321-640.npy,False,False,False
cube320_t0041,t2,43,321,640,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0043_x321-640_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0043_x321-640_y321-640_z321-640.npy,False,False,False
cube320_t0041,t3,44,321,640,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0044_x321-640_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0044_x321-640_y321-640_z321-640.npy,False,False,False
cube320_t0041,t4,45,321,640,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0045_x321-640_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0045_x321-640_y321-640_z321-640.npy,False,False,False
cube320_t0045,t1,46,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0046_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0046_x641-960_y641-960_z641-960.npy,False,False,False
