label,r,lag,state,N_i,P_self,D_i,gamma_plus,gamma_minus,gamma_plus_over_D,gamma_plus_minus_gamma_minus
ENSEMBLE,32,1,B,0.9,0.9991685185185185,0.0008314814814814886,0.0007483333333333334,0.0007483333333333398,0.8999999999999924,-6.396792817664476e-18
ENSEMBLE,32,1,HL,0.02646,0.9844419249181154,0.01555807508188456,0.0004325,0.00041166666666666543,0.027799068825911013,2.0833333333334563e-05
ENSEMBLE,32,1,HS,0.07354,0.9914558970174961,0.008544102982503854,0.0006075,0.0006283333333333334,0.07110167108753314,-2.0833333333333424e-05
ENSEMBLE,48,1,B,0.9,0.9992074074074074,0.000792592592592567,0.0007133333333333333,0.0007133333333333103,0.900000000000029,2.2985086056692694e-17
ENSEMBLE,48,1,HL,0.0282575,0.9851071986788168,0.014892801321183202,0.0004316666666666667,0.00042083333333333436,0.02898492079207914,1.0833333333332314e-05
ENSEMBLE,48,1,HS,0.0717425,0.9919271468562335,0.00807285314376649,0.0005683333333333333,0.0005791666666666674,0.07040055395683445,-1.0833333333334048e-05
ENSEMBLE,64,1,B,0.9,0.9992,0.0008000000000000229,0.00072,0.0007200000000000206,0.8999999999999743,-2.0599841277224584e-17
ENSEMBLE,64,1,HL,0.02946,0.9857716677981444,0.014228332201855598,0.000425,0.00041916666666666594,0.029869980119284347,5.833333333334035e-06
ENSEMBLE,64,1,HS,0.07054,0.9918485965409697,0.008151403459030315,0.0005691666666666667,0.0005749999999999985,0.0698243768115944,-5.8333333333317585e-06
ENSEMBLE,80,1,B,0.9,0.9992305555555555,0.0007694444444444892,0.0006925,0.0006925000000000403,0.8999999999999476,-4.0332320816460765e-17
ENSEMBLE,80,1,HL,0.030154166666666666,0.9851595965178942,0.014840403482105802,0.0004366666666666667,0.0004474999999999987,0.02942417752948488,-1.0833333333331988e-05
ENSEMBLE,80,1,HS,0.06984583333333333,0.9921613076418302,0.007838692358169808,0.0005583333333333333,0.000547500000000002,0.07122786656519507,1.0833333333331338e-05
ENSEMBLE,96,1,B,0.9,0.9991953703703703,0.0008046296296296829,0.0007241666666666667,0.0007241666666667146,0.8999999999999405,-4.7921736023859296e-17
ENSEMBLE,96,1,HL,0.030198333333333334,0.9858159942601689,0.01418400573983114,0.00044666666666666666,0.00042833333333333406,0.03149086900129697,1.8333333333332604e-05
ENSEMBLE,96,1,HS,0.06980166666666666,0.9919056374012082,0.008094362598791816,0.0005466666666666667,0.0005650000000000001,0.06753671583087512,-1.8333333333333418e-05
ENSEMBLE,128,1,B,0.9,0.9992268518518519,0.0007731481481481062,0.0006958333333333334,0.0006958333333332956,0.9000000000000489,3.7730235602495554e-17
ENSEMBLE,128,1,HL,0.030475,0.9855345911949686,0.014465408805031443,0.0004375,0.0004408333333333332,0.03024456521739131,-3.3333333333332156e-06
ENSEMBLE,128,1,HS,0.069525,0.9921610931319669,0.007838906868033124,0.0005483333333333333,0.000545000000000003,0.06995022935779778,3.3333333333303425e-06
ENSEMBLE,160,1,B,0.9,0.9991481481481481,0.0008518518518518814,0.0007666666666666667,0.0007666666666666933,0.8999999999999688,-2.656295322589486e-17
ENSEMBLE,160,1,HL,0.0318625,0.98574604420034,0.014253955799660045,0.00046666666666666666,0.0004541666666666682,0.03273944954128429,1.249999999999846e-05
ENSEMBLE,160,1,HS,0.0681375,0.9911086650767443,0.008891334923255667,0.0005933333333333333,0.000605833333333333,0.06673163686382397,-1.2499999999999708e-05
ENSEMBLE,192,1,B,0.9,0.9991101851851852,0.00088981481481476,0.0008008333333333333,0.000800833333333284,0.9000000000000554,4.933119884809045e-17
ENSEMBLE,192,1,HL,0.0303475,0.9853914380646401,0.014608561935359865,0.000465,0.0004433333333333335,0.03183064849624059,2.1666666666666525e-05
ENSEMBLE,192,1,HS,0.0696525,0.9906799229508393,0.009320077049160713,0.0006275,0.0006491666666666666,0.06732776957637998,-2.166666666666658e-05
ENSEMBLE,32,2,B,0.9,0.9983345679012345,0.0016654320987654625,0.0014988888888888888,0.0014988888888889163,0.8999999999999835,-2.7538735181131813e-17
ENSEMBLE,32,2,HL,0.026393333333333335,0.9686368611602256,0.031363138839774374,0.0008244444444444445,0.0008277777777777783,0.026287051454138687,-3.333333333333812e-06
ENSEMBLE,32,2,HS,0.07360666666666667,0.9831386045949945,0.01686139540500553,0.0012444444444444445,0.0012411111111111071,0.0738043569083858,3.3333333333373898e-06
ENSEMBLE,48,2,B,0.9,0.9984259259259259,0.001574074074074061,0.0014166666666666668,0.001416666666666655,0.9000000000000075,1.1709383462843448e-17
