label,r,lag,start_index,from_state,to_state,count
cube320_t0022,32,1,0,B,B,26980.0
cube320_t0022,32,1,0,B,HS,14.0
cube320_t0022,32,1,0,B,HL,6.0
cube320_t0022,32,1,0,HS,B,16.0
cube320_t0022,32,1,0,HS,HS,2236.0
cube320_t0022,32,1,0,HS,HL,2.0
cube320_t0022,32,1,0,HL,B,4.0
cube320_t0022,32,1,0,HL,HS,0.0
cube320_t0022,32,1,0,HL,HL,742.0
cube320_t0022,32,2,0,B,B,26962.0
cube320_t0022,32,2,0,B,HS,28.0
cube320_t0022,32,2,0,B,HL,10.0
cube320_t0022,32,2,0,HS,B,22.0
cube320_t0022,32,2,0,HS,HS,2230.0
cube320_t0022,32,2,0,HS,HL,2.0
cube320_t0022,32,2,0,HL,B,16.0
cube320_t0022,32,2,0,HL,HS,2.0
cube320_t0022,32,2,0,HL,HL,728.0
cube320_t0022,32,4,0,B,B,26926.0
cube320_t0022,32,4,0,B,HS,54.0
cube320_t0022,32,4,0,B,HL,20.0
cube320_t0022,32,4,0,HS,B,44.0
cube320_t0022,32,4,0,HS,HS,2206.0
cube320_t0022,32,4,0,HS,HL,4.0
cube320_t0022,32,4,0,HL,B,30.0
cube320_t0022,32,4,0,HL,HS,10.0
cube320_t0022,32,4,0,HL,HL,706.0
cube320_t0022,32,1,1,B,B,26986.0
cube320_t0022,32,1,1,B,HS,8.0
cube320_t0022,32,1,1,B,HL,6.0
cube320_t0022,32,1,1,HS,B,8.0
cube320_t0022,32,1,1,HS,HS,2390.0
cube320_t0022,32,1,1,HS,HL,2.0
cube320_t0022,32,1,1,HL,B,6.0
cube320_t0022,32,1,1,HL,HS,0.0
cube320_t0022,32,1,1,HL,HL,594.0
cube320_t0022,32,2,1,B,B,26972.0
cube320_t0022,32,2,1,B,HS,18.0
cube320_t0022,32,2,1,B,HL,10.0
cube320_t0022,32,2,1,HS,B,14.0
cube320_t0022,32,2,1,HS,HS,2372.0
cube320_t0022,32,2,1,HS,HL,14.0
cube320_t0022,32,2,1,HL,B,14.0
cube320_t0022,32,2,1,HL,HS,4.0
cube320_t0022,32,2,1,HL,HL,582.0
cube320_t0022,32,1,2,B,B,26980.0
cube320_t0022,32,1,2,B,HS,16.0
cube320_t0022,32,1,2,B,HL,4.0
cube320_t0022,32,1,2,HS,B,18.0
cube320_t0022,32,1,2,HS,HS,2350.0
cube320_t0022,32,1,2,HS,HL,2.0
cube320_t0022,32,1,2,HL,B,2.0
cube320_t0022,32,1,2,HL,HS,0.0
cube320_t0022,32,1,2,HL,HL,628.0
cube320_t0022,32,2,2,B,B,26964.0
cube320_t0022,32,2,2,B,HS,26.0
cube320_t0022,32,2,2,B,HL,10.0
cube320_t0022,32,2,2,HS,B,30.0
cube320_t0022,32,2,2,HS,HS,2336.0
cube320_t0022,32,2,2,HS,HL,4.0
cube320_t0022,32,2,2,HL,B,6.0
cube320_t0022,32,2,2,HL,HS,0.0
cube320_t0022,32,2,2,HL,HL,624.0
cube320_t0022,32,1,3,B,B,26986.0
cube320_t0022,32,1,3,B,HS,12.0
cube320_t0022,32,1,3,B,HL,2.0
cube320_t0022,32,1,3,HS,B,6.0
cube320_t0022,32,1,3,HS,HS,2392.0
cube320_t0022,32,1,3,HS,HL,2.0
cube320_t0022,32,1,3,HL,B,8.0
cube320_t0022,32,1,3,HL,HS,6.0
cube320_t0022,32,1,3,HL,HL,586.0
cube320_t0022,48,1,0,B,B,26976.0
cube320_t0022,48,1,0,B,HS,16.0
cube320_t0022,48,1,0,B,HL,8.0
cube320_t0022,48,1,0,HS,B,6.0
cube320_t0022,48,1,0,HS,HS,2284.0
cube320_t0022,48,1,0,HS,HL,0.0
cube320_t0022,48,1,0,HL,B,18.0
cube320_t0022,48,1,0,HL,HS,6.0
cube320_t0022,48,1,0,HL,HL,686.0
cube320_t0022,48,2,0,B,B,26968.0
cube320_t0022,48,2,0,B,HS,24.0
cube320_t0022,48,2,0,B,HL,8.0
cube320_t0022,48,2,0,HS,B,12.0
cube320_t0022,48,2,0,HS,HS,2272.0
cube320_t0022,48,2,0,HS,HL,6.0
cube320_t0022,48,2,0,HL,B,20.0
cube320_t0022,48,2,0,HL,HS,12.0
cube320_t0022,48,2,0,HL,HL,678.0
cube320_t0022,48,4,0,B,B,26936.0
cube320_t0022,48,4,0,B,HS,48.0
cube320_t0022,48,4,0,B,HL,16.0
cube320_t0022,48,4,0,HS,B,34.0
cube320_t0022,48,4,0,HS,HS,2246.0
cube320_t0022,48,4,0,HS,HL,10.0
cube320_t0022,48,4,0,HL,B,30.0
cube320_t0022,48,4,0,HL,HS,18.0
cube320_t0022,48,4,0,HL,HL,662.0
cube320_t0022,48,1,1,B,B,26984.0
cube320_t0022,48,1,1,B,HS,14.0
cube320_t0022,48,1,1,B,HL,2.0
cube320_t0022,48,1,1,HS,B,10.0
cube320_t0022,48,1,1,HS,HS,2272.0
cube320_t0022,48,1,1,HS,HL,10.0
cube320_t0022,48,1,1,HL,B,6.0
cube320_t0022,48,1,1,HL,HS,2.0
cube320_t0022,48,1,1,HL,HL,700.0
cube320_t0022,48,2,1,B,B,26966.0
cube320_t0022,48,2,1,B,HS,22.0
cube320_t0022,48,2,1,B,HL,12.0
cube320_t0022,48,2,1,HS,B,24.0
cube320_t0022,48,2,1,HS,HS,2258.0
cube320_t0022,48,2,1,HS,HL,10.0
